date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:18:22	46168/46168	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2015:12:11%20GMT	https://colorlib.com/polygon/octopus/ui-elements-typography.html	C:/Users/Zefarak/Desktop/grigoris/admin/colorlib.com/polygon/octopus/ui-elements-typography.html	(from https://colorlib.com/polygon/octopus/index.html)
14:18:23	109949/109949	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2015:12:08%20GMT	https://colorlib.com/polygon/octopus/ui-elements-icons.html	C:/Users/Zefarak/Desktop/grigoris/admin/colorlib.com/polygon/octopus/ui-elements-icons.html	(from https://colorlib.com/polygon/octopus/index.html)
14:18:23	42786/42786	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2015:12:10%20GMT	https://colorlib.com/polygon/octopus/ui-elements-tabs.html	C:/Users/Zefarak/Desktop/grigoris/admin/colorlib.com/polygon/octopus/ui-elements-tabs.html	(from https://colorlib.com/polygon/octopus/index.html)
14:18:23	44652/44652	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2015:12:09%20GMT	https://colorlib.com/polygon/octopus/ui-elements-panels.html	C:/Users/Zefarak/Desktop/grigoris/admin/colorlib.com/polygon/octopus/ui-elements-panels.html	(from https://colorlib.com/polygon/octopus/index.html)
14:18:23	62206/62206	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2015:12:11%20GMT	https://colorlib.com/polygon/octopus/ui-elements-widgets.html	C:/Users/Zefarak/Desktop/grigoris/admin/colorlib.com/polygon/octopus/ui-elements-widgets.html	(from https://colorlib.com/polygon/octopus/index.html)
14:18:23	34973/34973	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2015:12:09%20GMT	https://colorlib.com/polygon/octopus/ui-elements-portlets.html	C:/Users/Zefarak/Desktop/grigoris/admin/colorlib.com/polygon/octopus/ui-elements-portlets.html	(from https://colorlib.com/polygon/octopus/index.html)
14:18:24	40226/40226	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2015:12:06%20GMT	https://colorlib.com/polygon/octopus/ui-elements-buttons.html	C:/Users/Zefarak/Desktop/grigoris/admin/colorlib.com/polygon/octopus/ui-elements-buttons.html	(from https://colorlib.com/polygon/octopus/index.html)
14:18:24	33923/33923	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2015:12:05%20GMT	https://colorlib.com/polygon/octopus/ui-elements-alerts.html	C:/Users/Zefarak/Desktop/grigoris/admin/colorlib.com/polygon/octopus/ui-elements-alerts.html	(from https://colorlib.com/polygon/octopus/index.html)
14:18:24	43235/43235	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2015:12:09%20GMT	https://colorlib.com/polygon/octopus/ui-elements-notifications.html	C:/Users/Zefarak/Desktop/grigoris/admin/colorlib.com/polygon/octopus/ui-elements-notifications.html	(from https://colorlib.com/polygon/octopus/index.html)
14:18:24	63717/63717	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2015:12:08%20GMT	https://colorlib.com/polygon/octopus/ui-elements-modals.html	C:/Users/Zefarak/Desktop/grigoris/admin/colorlib.com/polygon/octopus/ui-elements-modals.html	(from https://colorlib.com/polygon/octopus/index.html)
